image,success_rate
test_images\test1.jpg,78.57142857142857
test_images\test10.jpg,62.5
test_images\test11.jpg,92.85714285714286
test_images\test12.jpg,73.21428571428571
test_images\test13.jpg,8.928571428571429
test_images\test14.jpg,1.7857142857142856
test_images\test15.jpg,3.571428571428571
test_images\test16.jpg,50.0
test_images\test17.jpg,100.0
test_images\test18.jpg,1.7857142857142856
test_images\test19.jpg,3.571428571428571
test_images\test2.jpg,85.71428571428571
test_images\test20.jpg,3.571428571428571
test_images\test21.jpg,3.571428571428571
test_images\test22.jpg,3.571428571428571
test_images\test23.jpg,3.571428571428571
test_images\test24.jpg,8.928571428571429
test_images\test3.jpg,75.0
test_images\test4.jpg,89.28571428571429
test_images\test5.jpg,83.92857142857143
test_images\test6.jpg,92.85714285714286
test_images\test7.jpg,96.42857142857143
test_images\test8.jpg,71.42857142857143
test_images\test9.jpg,76.78571428571429
